name,outcome
hotdog,1
barstool ,0
belfry ,0
billboard ,0
dishes ,0
latex ,0
lily ,0
pheasant ,0
season ,0
snowplow ,0
trombone,0
chairperson ,0
cheetah ,0
polish ,0
royal ,0
soda ,0
spider ,0
stylus ,0
syrup ,0
teach ,0
waterspout,0
backdrop ,0
barracks ,0
clothes ,0
icon ,0
makeup ,0
mover ,0
plastic ,0
snail ,0
texture ,0
trapdoor,0
anthony ,0
brow ,0
concert ,0
derrick ,0
division ,0
medicine ,0
milkshake ,0
science ,0
snakebite ,0
sympathy,0
celery ,0
consideration ,0
cop-out ,0
fault ,0
knuckle ,0
luck ,0
raspberry ,0
samovar ,0
size ,0
unblinking,0
adult ,0
asparagus ,0
bog ,0
brief ,0
finisher ,0
needle ,0
rhinoceros ,0
standard ,0
sunshine ,0
wiseguy,0
bifocals ,0
canon ,0
crotch ,0
hassock ,0
methodology ,0
moment ,0
pattern ,0
hot sauch,0
roll ,0
computer,0
napkin,0
pig,0
cow,0
haircut ,0
oar ,0
otter ,0
pelt ,0
pet ,0
comb ,0
crab ,0
maximum ,0
middle ,0
preference ,0
spoon ,0
stomach ,0
tank-top ,0
tractor ,0
tyvek,0
building ,0
chivalry ,0
chromolithograph ,0
kidneys ,0
lady ,0
market ,0
methodology ,0
ordinary ,0
relation ,0
relief,0
cheese,0
chineese,0
