name,class
Agaricus californicus,1
Agaricus hondensis,1
Agaricus menieri,1
Agaricus moelleri,1
Agaricus phaeolepidotus,1
Agaricus placomyces,1
Agaricus xanthodermus,1
Amanita abrupta,1
Amanita aprica,1
Amanita boudieri,1
Amanita brunnescens,1
Amanita citrina,1
Amanita cokeri,1
Amanita cothurnata,1
Amanita echinocephala,1
Amanita farinosa,1
Amanita flavorubescens,1
Amanita gemmata,1
Amanita gioiosa,1
Amanita gracilior,1
Amanita heterochroma,1
Amanita hongoi,1
Amanita ibotengutake,1
Amanita muscaria,1
Amanita neoovoidea,1
Amanita pantherina,1
Amanita porphyria,1
Amanita pseudoporphyria,1
Amanita pseudoregalis,1
Amanita pseudorubescens,1
Amanita regalis,1
Amanita smithiana,1
Ampulloclitocybe clavipes,1
Chlorophyllum molybdites,1
Clitocybe cerussata,1
Clitocybe dealbata,1
Coprinopsis alopecia,1
Coprinopsis atramentaria,1
Coprinopsis romagnesiana,1
Cortinarius bolaris,1
Cortinarius callisteus,1
Cortinarius cinnabarinus,1
Cortinarius cinnamomeofulvus,1
Cortinarius cinnamomeoluteus,1
Cortinarius cinnamomeus,1
Cortinarius cruentus,1
Cortinarius gentilis,1
Cortinarius limonius,1
Cortinarius malicorius,1
Cortinarius mirandus,1
Cortinarius palustris,1
Cortinarius phoeniceus,1
Cortinarius rubicundulus,1
Cortinarius smithii,1
Cudonia circinans,1
Gyromitra perlata,1
Echinoderma asperum,1
Echinoderma calcicola,1
Entoloma albidum,1
Entoloma rhodopolium,1
Entoloma sinuatum,1
Hebeloma crustuliniforme,1
Hebeloma sinapizans,1
Helvella crispa,1
Helvella dryophila,1
Helvella lactea,1
Helvella lacunosa,1
Helvella vespertina,1
Hapalopilus nidulans,1
Hypholoma fasciculare,1
Hypholoma lateritium,1
Hypholoma marginatum,1
Hypholoma radicosum,1
Imperator rhodopurpureus,1
Imperator torosus,1
Inocybe fibrosa,1
Inocybe geophylla,1
Inocybe hystrix,1
Inocybe lacera,1
Inocybe rimosa,1
Inocybe sambucina,1
Lactarius torminosus,1
Mycena diosma,1
Mycena pura,1
Mycena rosea,1
Panaeolus cinctulus,1
Psilocybe semilanceata,1
Omphalotus illudens,1
Omphalotus japonicus,1
Omphalotus nidiformis,1
Omphalotus olearius,1
Omphalotus olivascens,1
Paralepistopsis acromelalga,1
Paralepistopsis amoenolens,1
Pholiotina rugosa,1
Ramaria formosa,1
Ramaria neoformosa,1
Ramaria pallida,1
Rubroboletus legaliae,1
Rubroboletus lupinus,1
Rubroboletus pulcherrimus,1
Rubroboletus satanas,1
Russula emetica,1
Russula subnigricans,1
Sarcosphaera coronaria,1
Suillellus luridus,1
Tricholoma equestre,1
Tricholoma filamentosum,1
Tricholoma pardinum,1
Tricholoma muscarium,1
Trogia venenata,1
Turbinellus floccosus,1
Turbinellus kauffmanii,1
Agaricus bisporus,0
Pleurotus,0
Lentinula edodes,0
Auricularia auricula-judae,0
Volvariella volvacea,0
Flammulina velutipes,0
Tremella fuciformis,0
Hypsizygus tessellatus,0
Boletus edulis,0
Cantharellus cibarius,0
Cantharellus tubaeformis,0
Clitocybe nuda,0
Cortinarius caperatus,0
Craterellus cornucopioides,0
Grifola frondosa,0
Gyromitra esculenta,0
Hericium erinaceus,0
Hydnum repandum,0
Lactarius deliciosus,0
Morchella,0
Pleurotus ostreatus,0
Tricholoma matsutake,0
Tuber,0
Agaricus arvensis ,0
Agaricus silvaticus ,0
Amanita caesarea ,0
Armillaria mellea,0
Boletus badius ,0
Calocybe gambosa ,0
Calvatia gigantea ,0
Calvatia utriformis ,0
Chroogomphus rutilus ,0
Clavariaceae species,0
Clavulinaceae species,0
Coprinus comatus,0
Corn smut,0
Cortinarius variicolor,0
Cyttaria espinosae,0
Fistulina hepatica ,0
Flammulina velutipes ,0
Hygrophorus chrysodon,0
[[Kalaharituber pfeilii,0
Auricularia auricula-judae,0
Lactarius deterrimus ,0
Lactarius salmonicolor,0
Lactarius subdulcis ,0
Lactarius volemus,0
Laetiporus sulphureus ,0
Leccinum aurantiacum ,0
Leccinum scabrum ,0
Leccinum versipelle ,0
Macrolepiota procera ,0
Marasmius oreades ,0
Polyporus mylittae,0
Polyporus squamosus ,0
Ramariaceae species,0
Rhizopogon luteolus,0
Russula,0
Sparassis crispa,0
Suillus bovinus,0
Suillus granulatus,0
Suillus luteus,0
Suillus tomentosus,0
Tricholoma terreum,0
